id,customer_id,order_date,status_id,total,discount,final_total
1,1,"2026-05-01 12:30:00",3,1640.00,0.00,1640.00
2,2,"2026-05-01 14:15:00",3,3500.00,525.00,2975.00
3,3,"2026-05-02 13:00:00",1,2090.00,0.00,2090.00
4,4,"2026-05-02 18:45:00",3,2750.00,0.00,2750.00
5,5,"2026-05-03 11:20:00",1,4200.00,630.00,3570.00
6,6,"2026-05-03 15:30:00",3,1900.00,0.00,1900.00
7,7,"2026-05-04 19:00:00",1,3640.00,546.00,3094.00
8,8,"2026-05-04 20:15:00",3,1210.00,0.00,1210.00
9,9,"2026-05-05 12:00:00",1,2900.00,0.00,2900.00
10,10,"2026-05-05 16:30:00",3,4100.00,615.00,3485.00
11,1,"2026-05-06 11:00:00",1,1850.00,0.00,1850.00
12,2,"2026-05-06 14:45:00",3,3600.00,540.00,3060.00
13,3,"2026-05-07 13:20:00",1,980.00,0.00,980.00
14,4,"2026-05-07 18:00:00",3,4500.00,675.00,3825.00
15,5,"2026-05-08 12:30:00",1,2450.00,0.00,2450.00
16,6,"2026-05-08 15:45:00",3,3780.00,567.00,3213.00
17,7,"2026-05-09 14:00:00",1,1500.00,0.00,1500.00
18,8,"2026-05-09 19:30:00",3,5400.00,810.00,4590.00
19,9,"2026-05-10 13:00:00",1,2340.00,0.00,2340.00
20,10,"2026-05-10 17:00:00",3,4200.00,630.00,3570.00
21,1,"2026-05-11 11:30:00",1,1700.00,0.00,1700.00
22,2,"2026-05-11 15:15:00",3,3650.00,548.00,3102.00
23,3,"2026-05-12 12:00:00",1,1100.00,0.00,1100.00
24,4,"2026-05-12 16:30:00",3,4000.00,600.00,3400.00
25,5,"2026-05-13 13:00:00",1,2620.00,0.00,2620.00
26,6,"2026-05-13 17:30:00",3,3900.00,585.00,3315.00
27,7,"2026-05-14 19:00:00",1,9600.00,1440.00,8160.00
28,8,"2026-05-14 20:00:00",3,2110.00,0.00,2110.00
29,9,"2026-05-15 20:00:00",1,350.00,0.00,350.00
30,10,"2026-05-15 21:00:00",1,390.00,0.00,390.00
